Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Facebook - Register By Email,Chrome 70.0.3538.110,,2018-12-10 00:29:12,2018-12-10 00:29:35,22.680s,PASSED
,,,,,,
Test Cases/Register Facebook by Email,Chrome 70.0.3538.110,,2018-12-10 00:29:13,2018-12-10 00:29:33,20.773s,PASSED
"openBrowser("""")",Chrome 70.0.3538.110,Given I already open browser,2018-12-10 00:29:14,2018-12-10 00:29:20,6.147s,PASSED
"navigateToUrl(""https://www.facebook.com"")",Chrome 70.0.3538.110,When I input Facebook website,2018-12-10 00:29:20,2018-12-10 00:29:26,5.632s,PASSED
"setText(findTestObject(""txt_nama_dpn""), firstname)",Chrome 70.0.3538.110,and input my firstname,2018-12-10 00:29:26,2018-12-10 00:29:26,0.482s,PASSED
"setText(findTestObject(""txt_nama_blk""), lastname)",Chrome 70.0.3538.110,and input my lastname,2018-12-10 00:29:26,2018-12-10 00:29:27,0.440s,PASSED
"setText(findTestObject(""txt_email_no_telp""), email)",Chrome 70.0.3538.110,and Input my Email,2018-12-10 00:29:27,2018-12-10 00:29:28,0.796s,PASSED
delay(3),Chrome 70.0.3538.110,,2018-12-10 00:29:28,2018-12-10 00:29:31,3.097s,PASSED
"setText(findTestObject(""txt_email_val""), email)",Chrome 70.0.3538.110,and input same email in email validation,2018-12-10 00:29:31,2018-12-10 00:29:31,0.616s,PASSED
"setMaskedText(findTestObject(""txt_password""), password)",Chrome 70.0.3538.110,and Input password that i like,2018-12-10 00:29:31,2018-12-10 00:29:32,0.398s,PASSED
"selectOptionByValue(findTestObject(""slt_day""), day, false)",Chrome 70.0.3538.110,and Input my birthdate,2018-12-10 00:29:32,2018-12-10 00:29:32,0.351s,PASSED
"selectOptionByValue(findTestObject(""slt_month""), month, false)",Chrome 70.0.3538.110,,2018-12-10 00:29:32,2018-12-10 00:29:32,0.330s,PASSED
"selectOptionByValue(findTestObject(""slt_year""), year, false)",Chrome 70.0.3538.110,,2018-12-10 00:29:32,2018-12-10 00:29:33,0.331s,PASSED
"if (gender.toLowerCase() == ""l"")",Chrome 70.0.3538.110,and Input my gender with L or P,2018-12-10 00:29:33,2018-12-10 00:29:33,0.298s,PASSED
"click(findTestObject(""btn-register""))",Chrome 70.0.3538.110,and Click Register Button,2018-12-10 00:29:33,2018-12-10 00:29:33,0.252s,PASSED
"verifyElementPresent(findTestObject(""Home/homePage""), 0)",Chrome 70.0.3538.110,Then I will be registered to facebook,2018-12-10 00:29:33,2018-12-10 00:29:33,0.068s,PASSED
