Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Facebook - Register by Phone number,Chrome 70.0.3538.110,,2018-12-10 00:30:39,2018-12-10 00:30:58,19.248s,PASSED
,,,,,,
Test Cases/Register Facebook by Phone Number,Chrome 70.0.3538.110,,2018-12-10 00:30:40,2018-12-10 00:30:57,17.367s,PASSED
"openBrowser("""")",Chrome 70.0.3538.110,Given I already open browser,2018-12-10 00:30:42,2018-12-10 00:30:47,5.046s,PASSED
"navigateToUrl(""https://www.facebook.com"")",Chrome 70.0.3538.110,When I input Facebook website,2018-12-10 00:30:47,2018-12-10 00:30:50,3.449s,PASSED
"setText(findTestObject(""txt_nama_dpn""), firstname)",Chrome 70.0.3538.110,and input my firstname,2018-12-10 00:30:50,2018-12-10 00:30:51,1.056s,PASSED
"setText(findTestObject(""txt_nama_blk""), lastname)",Chrome 70.0.3538.110,and input my lastname,2018-12-10 00:30:51,2018-12-10 00:30:52,0.553s,PASSED
"setText(findTestObject(""txt_email_no_telp""), email)",Chrome 70.0.3538.110,and Input my Phone Number,2018-12-10 00:30:52,2018-12-10 00:30:52,0.656s,PASSED
delay(3),Chrome 70.0.3538.110,,2018-12-10 00:30:52,2018-12-10 00:30:56,3.073s,PASSED
"setMaskedText(findTestObject(""txt_password""), password)",Chrome 70.0.3538.110,and Input password that i like,2018-12-10 00:30:56,2018-12-10 00:30:56,0.385s,PASSED
"selectOptionByValue(findTestObject(""slt_day""), day, false)",Chrome 70.0.3538.110,and Input my birthdate,2018-12-10 00:30:56,2018-12-10 00:30:56,0.371s,PASSED
"selectOptionByValue(findTestObject(""slt_month""), month, false)",Chrome 70.0.3538.110,,2018-12-10 00:30:56,2018-12-10 00:30:57,0.275s,PASSED
"selectOptionByValue(findTestObject(""slt_year""), year, false)",Chrome 70.0.3538.110,,2018-12-10 00:30:57,2018-12-10 00:30:57,0.247s,PASSED
"if (gender.toLowerCase() == ""l"")",Chrome 70.0.3538.110,and Input my gender with L or P,2018-12-10 00:30:57,2018-12-10 00:30:57,0.249s,PASSED
"click(findTestObject(""btn-register""))",Chrome 70.0.3538.110,and Click Register Button,2018-12-10 00:30:57,2018-12-10 00:30:57,0.210s,PASSED
"verifyElementPresent(findTestObject(""Home/homePage""), 0)",Chrome 70.0.3538.110,Then I will be registered to facebook,2018-12-10 00:30:57,2018-12-10 00:30:57,0.071s,PASSED
